DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume
2013-06-18,KCB,KCB Group Plc,33.75,55.5,35.5,37.0,36.25,37.25,0.2,0.000299,1152700.0
2013-06-19,KCB,KCB Group Plc,33.75,55.5,36.25,38.25,37.5,36.25,0.0,0.0,4049400.0
2013-06-20,KCB,KCB Group Plc,33.75,55.5,38.0,39.25,38.75,37.5,0.0,0.0,4250000.0
2013-06-21,KCB,KCB Group Plc,33.75,55.5,38.5,39.25,38.75,38.75,-0.15,0.00021700000000000002,1488400.0
2013-06-24,KCB,KCB Group Plc,33.75,55.5,37.0,38.75,37.5,38.75,-0.05,7.400000000000001e-05,4779400.0
2013-06-25,KCB,KCB Group Plc,33.75,55.5,36.5,37.25,36.5,37.5,0.0,0.0,2888400.0
2013-06-26,KCB,KCB Group Plc,33.75,55.5,36.75,37.5,36.75,36.5,-0.05,7.5e-05,3819600.0
2013-06-27,KCB,KCB Group Plc,33.75,55.5,36.75,37.25,36.75,36.75,-0.15,0.000226,3662000.0
2013-06-28,KCB,KCB Group Plc,33.75,55.5,36.75,37.5,37.0,36.75,0.05,7.7e-05,744700.0
2013-07-01,KCB,KCB Group Plc,33.75,55.5,36.75,37.75,37.25,37.0,-0.15,0.000229,1966100.0
2013-07-02,KCB,KCB Group Plc,33.75,55.5,37.0,38.0,37.5,37.25,0.0,0.0,1885700.0
2013-07-03,KCB,KCB Group Plc,33.75,55.5,37.25,38.0,37.5,37.5,-0.1,0.000156,919300.0
2013-07-04,KCB,KCB Group Plc,33.75,55.5,37.75,39.0,38.0,37.5,0.15,0.00023799999999999998,137000.0
2013-07-05,KCB,KCB Group Plc,33.75,55.5,38.0,38.75,38.25,38.0,0.3,0.0004650000000000001,823800.0
2013-07-08,KCB,KCB Group Plc,33.75,55.5,38.25,39.75,39.25,38.25,-0.05,7.400000000000001e-05,2052500.0
2013-07-09,KCB,KCB Group Plc,33.75,55.5,39.0,40.0,39.75,39.25,-0.05,7.5e-05,368300.0
