Day Price,12m Low,12m High,Day Low,Day High,Previous,Volume_log,MA_5,STD_5,MA_12,STD_12,MA_50,STD_50,MA_200,STD_200,MA_5_vs_MA_50,MA_12_vs_MA_200,HighVol_5_vs_50,Daily_Range
5.75,23.5,33.5,5.7,5.8,5.75,16.582615584691474,5.67,0.0758287544405117,5.516666666666667,0.24152294576982355,5.516666666666667,0.24152294576982355,5.516666666666667,0.24152294576982355,1,0,0,0.09999999999999964
5.75,23.5,33.5,5.75,5.8,5.75,16.403184438752252,5.7,0.07071067811865055,5.570833333333333,0.21047385211527367,5.5346153846153845,0.24012550137429428,5.5346153846153845,0.24012550137429428,1,1,0,0.04999999999999982
5.75,23.5,33.5,5.5,5.8,5.75,17.60025006340275,5.73,0.044721359549988654,5.620833333333334,0.16849377292692774,5.55,0.23777817717036465,5.55,0.23777817717036465,1,1,0,0.2999999999999998
5.65,23.5,33.5,5.55,5.75,5.75,16.275441307122968,5.7299999999999995,0.04472135954999574,5.654166666666666,0.12146517146403472,5.556666666666667,0.2305789814069497,5.556666666666667,0.2305789814069497,1,1,0,0.20000000000000018
5.6,23.5,33.5,5.5,5.75,5.65,16.552718251020362,5.7,0.07071067811865503,5.675,0.07833494518006,5.559375,0.2230237281845435,5.559375,0.2230237281845435,1,1,0,0.25
5.6,23.5,33.5,5.5,5.7,5.6,16.18665118682799,5.67,0.07582875444051587,5.675000000000001,0.07833494518006,5.561764705882353,0.21616646635514583,5.561764705882353,0.21616646635514583,1,1,0,0.20000000000000018
5.55,23.5,33.5,5.35,5.65,5.6,15.995916830480866,5.63,0.07582875444051598,5.654166666666666,0.07525210155124099,5.561111111111111,0.2097306084113022,5.561111111111111,0.2097306084113022,1,1,0,0.3000000000000007
5.4,23.5,33.5,5.25,5.6,5.55,17.046844497259272,5.56,0.09617692030835669,5.637499999999999,0.104718236668255,5.552631578947368,0.20714573788795665,5.552631578947368,0.20714573788795665,1,1,0,0.34999999999999964
5.3,23.5,33.5,5.2,5.4,5.4,16.170384544572443,5.49,0.13416407864998708,5.612500000000001,0.14321788867443688,5.54,0.2093850645656413,5.54,0.2093850645656413,0,1,0,0.20000000000000018
5.3,23.5,33.5,5.25,5.5,5.3,16.72843176630992,5.43,0.139642400437689,5.5874999999999995,0.1693906190383098,5.5285714285714285,0.21069612512539726,5.5285714285714285,0.21069612512539726,0,1,0,0.25
5.45,23.5,33.5,5.3,5.5,5.3,15.11556624348391,5.4,0.10606601717798164,5.570833333333334,0.17249286326914512,5.5249999999999995,0.20629959721124938,5.5249999999999995,0.20629959721124938,0,1,0,0.20000000000000018
5.5,23.5,33.5,5.4,5.55,5.45,18.52353242411264,5.39,0.08944271909999112,5.550000000000001,0.16376257758774476,5.52391304347826,0.2016238426204684,5.52391304347826,0.2016238426204684,0,1,0,0.14999999999999947
5.45,23.5,33.5,5.35,5.55,5.5,14.870484737804032,5.4,0.09354143466934829,5.5249999999999995,0.15300029708824572,5.520833333333333,0.1977683464070518,5.520833333333333,0.1977683464070518,0,1,0,0.20000000000000018
5.4,23.5,33.5,5.35,5.6,5.45,17.150500506629864,5.42,0.07582875444051558,5.495833333333334,0.13892171329293088,5.516,0.1951068083554918,5.516,0.1951068083554918,0,0,0,0.25
5.4,23.5,33.5,5.4,5.5,5.4,15.054841143149305,5.44,0.04183300132670477,5.466666666666668,0.1154700538379304,5.511538461538462,0.19251373577368033,5.511538461538462,0.19251373577368033,0,0,0,0.09999999999999964
5.4,23.5,33.5,5.4,5.5,5.4,17.4064436380653,5.430000000000001,0.04472135954999605,5.445833333333333,0.10103629710819159,5.507407407407407,0.1899917527074953,5.507407407407407,0.1899917527074953,0,0,0,0.09999999999999964
5.55,23.5,33.5,5.5,5.6,5.4,16.71013442946505,5.44,0.06519202405202676,5.441666666666666,0.09494815172057322,5.508928571428571,0.18661386724928938,5.508928571428571,0.18661386724928938,0,0,0,0.09999999999999964
5.65,23.5,33.5,5.55,5.7,5.55,16.05167813895589,5.4799999999999995,0.11510864433221428,5.445833333333334,0.10326121628123623,5.513793103448276,0.18511413068512705,5.513793103448276,0.18511413068512705,0,0,0,0.15000000000000036
5.65,23.5,33.5,5.65,5.75,5.65,17.056773940824552,5.53,0.12549900398011304,5.454166666666667,0.1157158222334046,5.5183333333333335,0.1835865544872655,5.5183333333333335,0.1835865544872655,1,0,0,0.09999999999999964
5.7,23.5,33.5,5.55,5.75,5.65,16.855369806568735,5.59,0.11937336386313602,5.479166666666667,0.13392388159177268,5.524193548387097,0.1834261739510546,5.524193548387097,0.1834261739510546,1,0,0,0.20000000000000018
5.6,23.5,33.5,5.55,5.65,5.7,15.396796084689285,5.63,0.057008771254964154,5.504166666666666,0.12515142343529123,5.5265625,0.18094036399482732,5.5265625,0.18094036399482732,1,0,0,0.10000000000000053
5.55,23.5,33.5,5.55,5.65,5.6,14.374898319903746,5.63,0.057008771254964154,5.525000000000001,0.10766108438479347,5.527272727272727,0.17813745969181918,5.527272727272727,0.17813745969181918,1,0,0,0.10000000000000053
5.55,23.5,33.5,5.55,5.75,5.55,16.506258670815065,5.61,0.06519202405203231,5.533333333333334,0.10516941599441582,5.527941176470588,0.17546094120767455,5.527941176470588,0.17546094120767455,1,1,0,0.20000000000000018
5.65,23.5,33.5,5.6,5.7,5.55,15.889864303732766,5.609999999999999,0.06519202405203231,5.545833333333333,0.10966546927595491,5.531428571428571,0.1740882612041248,5.531428571428571,0.1740882612041248,1,1,0,0.10000000000000053
5.7,23.5,33.5,5.65,5.8,5.65,17.947526572957873,5.61,0.06519202405203231,5.566666666666666,0.1134847473398423,5.536111111111111,0.1738682223126431,5.536111111111111,0.1738682223126431,1,1,0,0.14999999999999947
5.7,23.5,33.5,5.65,5.75,5.7,16.52984106327293,5.630000000000001,0.0758287544405211,5.591666666666666,0.10624442944398735,5.54054054054054,0.17354067640287196,5.54054054054054,0.17354067640287196,1,1,0,0.09999999999999964
5.65,23.5,33.5,5.65,5.75,5.7,15.96521261732801,5.65,0.06123724356958709,5.612500000000001,0.08822749519900394,5.5434210526315795,0.17209796574938993,5.5434210526315795,0.17209796574938993,1,1,0,0.09999999999999964
5.65,23.5,33.5,5.65,5.7,5.65,14.025204872386476,5.67,0.027386127875276438,5.633333333333333,0.05773502691895481,5.546153846153847,0.17067382533906714,5.546153846153847,0.17067382533906714,1,1,0,0.04999999999999982
5.65,23.5,33.5,5.65,5.75,5.65,15.099024682751722,5.67,0.027386127875276438,5.641666666666667,0.05149286505443401,5.54875,0.16926973618973812,5.54875,0.16926973618973812,1,1,0,0.09999999999999964
5.7,23.5,33.5,5.7,5.8,5.65,15.899155876380322,5.67,0.027386127875276438,5.645833333333333,0.054181233472531884,5.552439024390244,0.16880136977828214,5.552439024390244,0.16880136977828214,1,1,0,0.09999999999999964
5.75,23.5,33.5,5.75,5.8,5.7,15.297410737001417,5.680000000000001,0.04472135955000741,5.654166666666668,0.062005620468597984,5.557142857142857,0.16949402053322005,5.557142857142857,0.16949402053322005,1,1,0,0.04999999999999982
5.8,23.5,33.5,5.75,5.9,5.75,15.724208409933556,5.709999999999999,0.06519202405203559,5.6625000000000005,0.07423855895936012,5.562790697674418,0.17151045478886276,5.562790697674418,0.17151045478886276,1,1,0,0.15000000000000036
5.95,23.5,33.5,5.85,6.0,5.8,16.40051145593359,5.7700000000000005,0.11510864433221969,5.691666666666666,0.108362466945076,5.571590909090909,0.17927428876754112,5.571590909090909,0.17927428876754112,1,1,0,0.15000000000000036
5.9,23.5,33.5,5.9,6.0,5.95,16.995404402780178,5.82,0.10368220676664668,5.720833333333334,0.11373480584501904,5.578888888888889,0.1838628716069545,5.578888888888889,0.1838628716069545,1,1,0,0.09999999999999964
5.95,23.5,33.5,5.8,6.0,5.9,16.952117241827967,5.87,0.0908295106229352,5.754166666666667,0.11766349038548331,5.586956521739131,0.18986392279404696,5.586956521739131,0.18986392279404696,1,1,0,0.20000000000000018
5.95,23.5,33.5,5.9,6.1,5.95,14.828855765655373,5.91,0.06519202405204244,5.779166666666666,0.12515142343527816,5.5946808510638295,0.19511257691093367,5.5946808510638295,0.19511257691093367,1,1,0,0.1999999999999993
6.15,23.5,33.5,6.0,6.5,5.95,16.12177895924226,5.9799999999999995,0.09746794344810172,5.816666666666667,0.16143297699232084,5.60625,0.20900600622541377,5.60625,0.20900600622541377,1,1,0,0.5
6.25,23.5,33.5,6.15,6.35,6.15,17.01798871288406,6.04,0.1516575088810396,5.862500000000001,0.19900319778151648,5.619387755102041,0.22634236754734757,5.619387755102041,0.22634236754734757,1,1,0,0.1999999999999993
6.25,23.5,33.5,6.25,6.35,6.25,16.260445632772793,6.11,0.15165750888104085,5.9125000000000005,0.21545406597567532,5.632000000000001,0.241119836409624,5.632000000000001,0.241119836409624,1,1,0,0.09999999999999964
6.3,23.5,33.5,6.25,6.4,6.25,17.15076758304319,6.180000000000001,0.13964240043770174,5.966666666666668,0.22495790852080777,5.655999999999999,0.24674203665581776,5.645098039215686,0.25636983090074805,1,1,0,0.15000000000000036
6.1,23.5,33.5,5.9,6.35,6.3,14.917783139579392,6.209999999999999,0.08215838362579753,6.004166666666666,0.20389205403096214,5.675,0.24353895887474666,5.653846153846154,0.2615650771658172,1,1,0,0.4499999999999993
5.95,23.5,33.5,5.8,6.1,6.1,16.737214140837068,6.17,0.14404860290889118,6.0249999999999995,0.18153386861558457,5.689,0.23868047123076147,5.659433962264151,0.26221259060261903,1,1,0,0.2999999999999998
5.95,23.5,33.5,5.9,6.0,5.95,15.694609280980043,6.11,0.16355427233797049,6.041666666666667,0.1621353717973763,5.700999999999999,0.2363605858230424,5.6648148148148145,0.2627197426395783,1,1,0,0.09999999999999964
5.95,23.5,33.5,5.85,6.0,5.95,16.182787379109097,6.05,0.15411035007423315,6.054166666666667,0.14687399258195508,5.708000000000001,0.23848159129743038,5.670000000000001,0.2631011634756143,1,1,0,0.15000000000000036
5.8,23.5,33.5,5.8,6.0,5.95,14.896230733141898,5.95,0.1060660171779924,6.041666666666667,0.1621353717973763,5.707999999999999,0.23848159129743038,5.672321428571428,0.2612765241615132,1,1,0,0.20000000000000018
5.8,23.5,33.5,5.8,5.9,5.8,14.933827756736093,5.89,0.08215838362578624,6.033333333333334,0.1723280873710507,5.712,0.23831037899070487,5.674561403508772,0.2594848617621247,1,1,0,0.10000000000000053
5.8,23.5,33.5,5.75,5.95,5.8,16.655541842248766,5.859999999999999,0.08215838362578524,6.020833333333333,0.1839692826797233,5.716,0.23807047490272215,5.676724137931035,0.2577254620581815,1,1,0,0.20000000000000018
5.8,23.5,33.5,5.6,5.85,5.8,14.354049203897448,5.83,0.06708203932500491,6.008333333333333,0.19403998338360648,5.72,0.23776167110133087,5.678813559322034,0.25599760738215577,1,1,0,0.25
5.95,23.5,33.5,5.8,6.0,5.8,16.01966672291055,5.83,0.06708203932500491,5.991666666666666,0.18929694485999676,5.726,0.23973624963228765,5.683333333333334,0.25622200825480235,1,1,0,0.20000000000000018
